WBL_NUM,WBL_CNTR_UUID,CNTR_TYPE,IS_EMPTY,SOC,TRANS_TYPE,LEG_TYPE,IS_MAIN,POL_CDE,POL_NME,LDD_SVVD,POD_CDE,POD_NME,WBL_AUD_DT,MAIN_SVVD_SAILING_DATE,CGO_BRIEF_DESC_CDE,BKG_MTHD,CGO_BRIEF_DESC_CNNME,AMT
Q012119880,ff8033fc4044481396cda80c8f53f2cf,20GP,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-Q2P-097 S,NSH,南沙,2019/7/18 14:01,2019/7/21 16:08,CT1000100019,TF,木托盘,1860.6
Q012119920,260bbabc27194393a7d95c80cdbac6e9,20GP,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-R27-056 S,NSH,南沙,2019/7/18 14:01,2019/7/23 11:46,CT1600400002,TF,铁丝,1860.6
Q012120210,358d7758521c4668bc708d8ff0a56e93,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 13:55,2019/7/23 11:17,CT1100300001,TF,大米,1842.75
Q012120630,13d017932b99461c93db5834bc02347b,20GP,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-R27-056 S,NSH,南沙,2019/7/18 14:00,2019/7/23 11:46,CT1600400002,TF,铁丝,1860.6
Q012120630,0209f20da5c04b73ae87e3854d6deeb9,20GP,0,0,TRUNK,OCEAN,1,TSN,新港,IC10-R27-056 S,NSH,南沙,2019/7/18 14:00,2019/7/23 11:46,CT1600400002,TF,铁丝,1860.6
Q012120900,8841a571d85a438cb4cb4f7265586842,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAC-183 S,QZH,钦州,2019/7/18 14:08,2019/7/21 8:47,CT1100300001,TF,大米,2359.35
Q012120900,232a4963c7404bcbb1f756e060343cb1,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC19-CAC-183 S,QZH,钦州,2019/7/18 14:08,2019/7/21 8:47,CT1100300001,TF,大米,2359.35
Q012121000,3158695b6b034a60bac7f8b3f8ab58cc,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-QPE-292 S,NSH,南沙,2019/7/18 14:36,2019/7/24 11:06,CT1100600001,TF,大豆,1842.75
Q012121000,dd04b174ef494215a423b079b7932adf,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-QPE-292 S,NSH,南沙,2019/7/18 14:36,2019/7/24 11:06,CT1100600001,TF,大豆,1842.75
Q012121990,171b79aec3954750b933ee20ed803289,40HQ,0,0,TRUNK,OCEAN,1,NSH,南沙,IC9-RAC-159 N,YIK,营口,2019/7/18 14:17,2019/7/21 13:07,CT1800200030,TF,电子游戏机,1613.85
Q012122950,669f1a47a6904559ad90cf60a520134a,40HQ,0,0,TRUNK,OCEAN,1,NSH,南沙,IC9-QUB-089 N,YIK,营口,2019/7/18 14:24,2019/7/19 13:41,CT9900100088,TF,厨具,1613.85
Q012123280,4180ae4cb7f64a29bd913eb67552c750,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 14:35,2019/7/23 11:17,CT1100300001,TF,大米,1842.75
Q012125340,64b8329878934e20af6d4e99272d0347,20GP,0,0,TRUNK,OCEAN,1,YIK,营口,IC9-RT8-094 S,NSH,南沙,2019/7/18 14:53,2019/7/23 11:17,CT1100600001,TF,大豆,1842.75
